Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Nov 11, 2020",November,2020,276.48,273.5,278.38,272.99,14.96M,1.49%
"Nov 10, 2020",November,2020,272.43,273.14,273.52,264.04,29.07M,-2.27%
"Nov 09, 2020",November,2020,278.77,290,292.5,278.69,25.12M,-4.99%
"Nov 06, 2020",November,2020,293.41,293.95,294.6,288.06,13.89M,-0.43%
"Nov 05, 2020",November,2020,294.68,292,297.3,289.11,23.82M,2.54%
"Nov 04, 2020",November,2020,287.38,281.52,288.94,278.71,35.36M,8.32%
"Nov 03, 2020",November,2020,265.3,263.16,270.05,260.88,17.84M,1.51%
"Nov 02, 2020",November,2020,261.36,264.6,270.47,257.34,27.17M,-0.67%
"Oct 30, 2020",October,2020,263.11,274.5,276.7,259.1,47.30M,-6.31%
"Oct 29, 2020",October,2020,280.83,276.55,283.6,273.78,32.37M,4.92%
"Oct 28, 2020",October,2020,267.67,278.79,278.79,267.26,23.12M,-5.51%
"Oct 27, 2020",October,2020,283.29,278.76,284.51,276.31,16.29M,2.23%
"Oct 26, 2020",October,2020,277.11,283.16,285.23,274.26,21.32M,-2.70%
"Oct 23, 2020",October,2020,284.79,278.8,285.24,276.82,17.54M,2.40%
"Oct 22, 2020",October,2020,278.12,279.87,282.45,275.04,16.72M,-0.22%
"Oct 21, 2020",October,2020,278.73,279.56,283.05,276.37,29.00M,4.17%
"Oct 20, 2020",October,2020,267.56,263.06,269.7,262.88,18.76M,2.36%
"Oct 19, 2020",October,2020,261.4,265.53,268.55,259.88,13.59M,-1.70%
"Oct 16, 2020",October,2020,265.93,267.38,271.37,265.3,16.62M,-0.30%
"Oct 15, 2020",October,2020,266.72,267.6,269.04,263.67,15.42M,-1.88%
"Oct 14, 2020",October,2020,271.82,277.62,278.75,271.5,15.60M,-1.56%
"Oct 13, 2020",October,2020,276.14,277.58,279.1,273.39,18.06M,0.14%
"Oct 12, 2020",October,2020,275.75,270.2,280.18,267.87,31.02M,4.27%
"Oct 09, 2020",October,2020,264.45,264.52,264.75,262.17,14.11M,0.26%
"Oct 08, 2020",October,2020,263.76,259.75,264.62,259.15,16.31M,2.19%
"Oct 07, 2020",October,2020,258.12,259.21,260.18,254.82,23.13M,-0.21%
"Oct 06, 2020",October,2020,258.66,261.78,265.69,258.24,18.70M,-2.26%
"Oct 05, 2020",October,2020,264.65,262.2,264.87,260.84,12.82M,1.81%
"Oct 02, 2020",October,2020,259.94,261.21,265.15,259.18,16.37M,-2.51%
"Oct 01, 2020",October,2020,266.63,265.35,268.33,264.8,20.01M,1.81%
"Sep 30, 2020",September,2020,261.9,261.98,266.08,260.1,20.14M,0.04%
"Sep 29, 2020",September,2020,261.79,257.81,263.33,256.9,20.22M,1.94%
"Sep 28, 2020",September,2020,256.82,259.4,259.6,254.82,18.83M,0.78%
"Sep 25, 2020",September,2020,254.82,249.4,255.75,246.61,18.35M,2.12%
"Sep 24, 2020",September,2020,249.53,246.5,252.24,245.62,20.01M,0.20%
"Sep 23, 2020",September,2020,249.02,255.26,257.99,248.15,19.64M,-2.25%
"Sep 22, 2020",September,2020,254.75,253.31,255.32,248.22,30.29M,2.66%
"Sep 21, 2020",September,2020,248.15,247.54,249.95,244.13,24.71M,-1.73%
"Sep 18, 2020",September,2020,252.53,258.4,259.2,250.05,28.13M,-0.90%
"Sep 17, 2020",September,2020,254.82,258.28,261.5,250.19,31.28M,-3.30%
"Sep 16, 2020",September,2020,263.52,267.29,272.44,261.79,29.21M,-3.27%
"Sep 15, 2020",September,2020,272.42,270.67,274.52,269.3,18.48M,2.36%
"Sep 14, 2020",September,2020,266.15,270.95,276.64,265.7,24.09M,-0.17%
"Sep 11, 2020",September,2020,266.61,270.06,271.39,262.64,18.91M,-0.55%
"Sep 10, 2020",September,2020,268.09,275.51,279.16,267.03,24.81M,-2.06%
"Sep 09, 2020",September,2020,273.72,275.77,278.48,271.35,22.92M,0.94%
"Sep 08, 2020",September,2020,271.16,271.28,279.3,269.42,24.86M,-4.09%
"Sep 04, 2020",September,2020,282.73,287.25,289,271.14,30.33M,-2.88%
"Sep 03, 2020",September,2020,291.12,295.99,297.6,283.63,32.29M,-3.76%
"Sep 02, 2020",September,2020,302.5,298.88,303.6,293.05,24.34M,2.39%
"Sep 01, 2020",September,2020,295.44,294.71,301.49,292.71,17.32M,0.76%
"Aug 31, 2020",August,2020,293.2,293.95,296.88,291.55,17.35M,-0.16%
"Aug 28, 2020",August,2020,293.66,295,297.23,290.98,17.17M,0.15%
"Aug 27, 2020",August,2020,293.22,300.16,301.23,292.02,30.30M,-3.52%
"Aug 26, 2020",August,2020,303.91,284,304.67,284,69.02M,8.22%
"Aug 25, 2020",August,2020,280.82,272.41,283.09,270.26,42.13M,3.47%
"Aug 24, 2020",August,2020,271.39,271.07,277.25,268.77,23.69M,1.64%
"Aug 21, 2020",August,2020,267.01,268.69,270.49,266.42,15.54M,-0.74%
"Aug 20, 2020",August,2020,269.01,261.5,269.63,261.46,20.30M,2.44%
"Aug 19, 2020",August,2020,262.59,261.39,267.91,261.35,23.29M,0.10%
"Aug 18, 2020",August,2020,262.34,260.95,265.15,259.26,18.69M,0.45%
"Aug 17, 2020",August,2020,261.16,262.5,264.1,259.4,13.35M,-0.03%
"Aug 14, 2020",August,2020,261.24,262.31,262.65,258.68,14.79M,-0.02%
"Aug 13, 2020",August,2020,261.3,261.55,265.16,259.57,17.37M,0.54%
"Aug 12, 2020",August,2020,259.89,258.97,263.9,258.11,21.43M,1.47%
"Aug 11, 2020",August,2020,256.13,260.19,265.92,255.13,28.24M,-2.61%
"Aug 10, 2020",August,2020,263,268.04,273.86,259.69,30.25M,-2.03%
"Aug 07, 2020",August,2020,268.44,264.08,278.89,263.43,72.77M,1.19%
"Aug 06, 2020",August,2020,265.28,249.04,266.6,248.66,45.24M,6.49%
"Aug 05, 2020",August,2020,249.12,250.19,252.27,247.77,13.09M,-0.28%
"Aug 04, 2020",August,2020,249.83,251.56,252.8,247.43,17.18M,-0.85%
"Aug 03, 2020",August,2020,251.96,252.65,255.4,250.33,23.13M,-0.67%
"Jul 31, 2020",July,2020,253.67,255.82,255.85,249,53.03M,8.17%
"Jul 30, 2020",July,2020,234.5,230.22,234.89,229,20.62M,0.52%
"Jul 29, 2020",July,2020,233.29,231.14,233.7,230.31,13.59M,1.38%
"Jul 28, 2020",July,2020,230.12,234.63,234.96,229.83,14.17M,-1.45%
"Jul 27, 2020",July,2020,233.5,231.46,234.95,230.83,13.16M,1.21%
"Jul 24, 2020",July,2020,230.71,230.19,233.49,226.9,18.33M,-0.81%
"Jul 23, 2020",July,2020,232.6,239.63,242.42,231.75,21.77M,-3.03%
"Jul 22, 2020",July,2020,239.87,240.26,241.9,238.12,15.43M,-0.78%
"Jul 21, 2020",July,2020,241.75,246.22,246.91,240.08,19.41M,-1.50%
