"Date","Price","Open","High","Low","Change %"
"Aug 18, 2020","6.5217","6.5402","6.5826","6.4688","-0.26%"
"Aug 17, 2020","6.5386","6.4193","6.5482","6.4093","1.87%"
"Aug 14, 2020","6.4183","6.3439","6.4467","6.3251","1.20%"
"Aug 13, 2020","6.3419","6.4039","6.4449","6.3198","-0.97%"
"Aug 12, 2020","6.4042","6.3184","6.4760","6.3025","1.40%"
"Aug 11, 2020","6.3156","6.4342","6.4726","6.3165","-1.82%"
"Aug 10, 2020","6.4327","6.4111","6.4453","6.2989","0.36%"
"Aug 07, 2020","6.4096","6.3337","6.4124","6.2972","1.24%"
"Aug 06, 2020","6.3312","6.2774","6.3657","6.2612","0.90%"
"Aug 05, 2020","6.2747","6.2452","6.3160","6.2048","0.50%"
"Aug 04, 2020","6.2433","6.2585","6.3147","6.2214","-0.24%"
"Aug 03, 2020","6.2584","6.1528","6.2761","6.1121","1.72%"
"Jul 31, 2020","6.1523","6.1061","6.1845","6.0968","0.78%"
"Jul 30, 2020","6.1047","6.0938","6.1318","6.0651","0.17%"
"Jul 29, 2020","6.0945","6.0390","6.1113","6.0030","0.96%"
"Jul 28, 2020","6.0366","6.0512","6.1030","6.0187","-0.15%"
"Jul 27, 2020","6.0455","6.0947","6.1452","6.0384","-0.87%"
"Jul 24, 2020","6.0984","6.0443","6.1006","6.0084","0.94%"
"Jul 23, 2020","6.0419","5.9227","6.0585","5.9203","2.08%"
"Jul 22, 2020","5.9189","5.9609","6.0228","5.8840","-0.67%"
"Jul 21, 2020","5.9590","6.0999","6.1124","5.9530","-2.27%"
"Jul 20, 2020","6.0977","6.1432","6.1764","6.0927","-0.90%"
"Jul 17, 2020","6.1528","6.0693","6.1696","6.0655","1.39%"
"Jul 16, 2020","6.0684","6.1294","6.1554","6.0398","-0.95%"
"Jul 15, 2020","6.1269","6.1200","6.1521","6.0524","0.17%"
"Jul 14, 2020","6.1167","6.1295","6.2165","6.0738","-0.20%"
"Jul 13, 2020","6.1287","6.0160","6.1366","6.0146","1.89%"
"Jul 10, 2020","6.0148","6.0296","6.0868","6.0044","-0.20%"
"Jul 09, 2020","6.0270","6.0539","6.0767","5.9499","-0.42%"
"Jul 08, 2020","6.0522","6.0641","6.1035","6.0050","-0.16%"
